data_dir,AG,Mouse#,Recording,distance,trajectory,mouse,cell_num,channel,pos,src,pre_firing_rate,pre_cv,pre_bursts,pre_burst_fr,pre_percent_time_bursting,pre_percent_spike_bursting,pre_mean_burst_duration,pre_mean_interburst_interval,pre_nonbursting_fr,pre_bursting_firing_rate_increase,baseline_firing_rate,baseline_cv,baseline_bursts,baseline_burst_fr,baseline_percent_time_bursting,baseline_percent_spike_bursting,baseline_mean_burst_duration,baseline_mean_interburst_interval,baseline_nonbursting_fr,baseline_bursting_firing_rate_increase,diff_firing_rate,diff_cv,diff_bursts,diff_burst_fr,diff_percent_time_bursting,diff_percent_spike_bursting,diff_mean_burst_duration,diff_mean_interburst_interval,diff_nonbursting_fr,diff_bursting_firing_rate_increase,bucket_path,z_score_diff_firing_rate,z_score_diff_cv,z_score_diff_bursts,z_score_diff_burst_fr,z_score_diff_percent_time_bursting,z_score_diff_percent_spike_bursting,z_score_diff_mean_burst_duration,z_score_diff_mean_interburst_interval,z_score_diff_nonbursting_fr,z_score_diff_bursting_firing_rate_increase,filtering_z_score_baseline_firing_rate,filtering_z_score_baseline_cv,filtering_z_score_baseline_bursts,filtering_z_score_baseline_burst_fr,filtering_z_score_baseline_percent_time_bursting,filtering_z_score_baseline_percent_spike_bursting,filtering_z_score_baseline_mean_burst_duration,filtering_z_score_baseline_mean_interburst_interval,filtering_z_score_baseline_nonbursting_fr,filtering_z_score_baseline_bursting_firing_rate_increase,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,cluster
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0079,AG6926,5,051921,1.4,1,Naive mice,79,5,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG6926_mouse#5_Naive_recorded_051921/Trajectory1_1.4mm_right_in_SNr_1mW_10s_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch5.txt,34.141001671711734,0.3410016631551139,0.03325962169674791,119.75045197238033,0.0009923839623766926,0.0034096444227959084,0.029837499999999295,0.3139250000000011,34.05839199777605,3.516033639527075,34.2,0.3216925394691472,0.0,0.0,0.0,0.0,0.0,1.0,34.2,0.0,-0.9164516386999539,-0.7342198096969135,0.0,0.0,0.0,0.0,0.0,0.0,-0.9164516386999539,0.0,data/Split/Healthy,-1.1514147498678622,-0.9781511840566313,0.21936185197037703,0.23368442502959813,0.21998824388259466,0.20518196930089944,0.23353596825423217,0.022472013246651306,-1.1478519357309211,0.20870137987369894,0.5296144964403275,-1.796835031147691,-1.1870631251855843,-1.0295071035516852,-1.3420281493875708,-1.3063908009010003,-1.377912603239673,0.7360436647324773,0.6382896771928671,-1.1769385204001805,-0.5539633536206701,-1.8461776836483204,0.2242153872115985,-0.13374355859441145,0.049580987557590814,-0.03657428475094097,0.0010317207354249552,-0.028925050652398435,-0.0014906215036383542,0.001101111879420077,2
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0090,AG7094,1,081321,1.0,2,Naive mice,90,13,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#1_Naive_recorded_081321/Trajectory2_1.0mm_right_1mW_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch13.txt,29.09724462694766,0.7414167933320087,1.0524879803848624,146.3216143127277,0.031875812895163426,0.1407902058987201,0.03028615384615359,0.9173332031250003,25.823791924462054,5.6661552548416365,24.7,0.738430941258292,0.9,75.1029224639429,0.028717499999996933,0.1552890862261177,0.020282083333330307,0.8731549999999999,22.055991150058833,4.591282521039647,-0.23641326982431538,0.018531871087055604,0.21666666666666665,0.10745614184020287,0.2910367933566401,0.2977691474465668,0.2938355105550873,-0.27353815431073547,-0.28506390697378625,0.23173438057912693,data/Split/Healthy,0.3191474109652913,0.656751134417021,0.8256600229552455,0.5347810954162593,1.0464054793151274,1.0479652038439176,1.0857513905136424,-1.7279908551042449,0.23272605115175643,0.8674571156944013,-0.08690976879879167,0.8109848911113043,0.8904767886716871,0.4419241772825791,0.938064722201441,1.1990152886706094,0.7235137321031447,-0.40316812652519807,-0.16167220523956813,0.9016934080138214,2.5264126592683898,-0.6302715441368655,-0.8620086448842129,0.4739413405440035,-0.4837517336421488,0.07069104609362804,-0.050713038098498885,-0.01696734080593098,0.04104031121918195,-0.019483003894031705,0
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0059,AG7094,3,081921,1.7,2,Naive mice,59,16,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#3_Naive_recorded_081921/Trajectory2_1.7mm_right_rec3_1mW_10s_GPe_neurons_recorded_together/Ch16.txt,17.830349316905743,0.6541055188145174,0.6004363605985829,85.99446403991297,0.027263074012265805,0.1259150805270864,0.04540543478260859,1.6015636363636363,16.022049775704723,5.367257326232501,17.4,0.6708647347654657,1.0,77.26998511636438,0.038734999999996945,0.18151389786683902,0.0318487499999975,0.8104150000000004,14.730029042174596,5.020680827087173,0.11295298459385147,-0.06704498691257987,-0.6,-0.5403876294041676,-0.6596123705958324,-0.6305263157894737,-0.6596123705958324,0.18043025646814637,0.1834579803193084,-0.5711239619826726,data/Split/Healthy,1.0746412441571047,0.47088664932469604,-1.459617698449259,-1.280504649185433,-1.653022468879473,-1.5794119432732756,-1.679547422765899,1.1771060534973345,1.2571853041074401,-1.4148435808718396,-0.5606599936667463,0.3881764851496938,1.1213145568780505,0.48438169650670154,1.7334274919810315,1.6221216664546847,1.9219358836146996,-0.9666443990113496,-0.6442550583046132,1.0960968290333504,-2.7582910555661497,3.3787949167497775,-0.013408787872140511,-0.13970601594720053,0.2611464508511133,0.07070352276061173,-0.017628418374949974,-0.03231120093916588,-0.019664440904895365,0.006850023067388536,2
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0014,AG7094,2,081821,1.4,4,Naive mice,14,8,left,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#2_Naive_recorded_081821/Trajectory4_1.4mm_left_rec11_1mW_10s_GPe_cells_rec_together/Ch8.txt,18.863978089371056,0.9938759368372134,1.3680988293546652,100.48061439493988,0.055937483145416675,0.26359832635983266,0.04088701923076894,0.6541000000000002,14.71456051746204,6.82865208754945,21.7,0.7971933559399055,1.0,91.96334655886177,0.03816499999999721,0.18605935380073307,0.03320624999999992,0.9673225000000002,18.805560431772,5.76411064197603,-1.0,-1.0,-0.9,-0.9,-0.9,-0.9,-0.9,0.019529650824007375,-1.0,-0.9,data/Split/Healthy,-1.3320855242693184,-1.5553995123211926,-2.299107473659077,-2.288153775256595,-2.335618225358041,-2.342109842470252,-2.3767471748026923,0.1474488329719488,-1.3305368734563014,-2.3497457558381734,-0.2816016420321977,1.1787018930215125,1.1213145568780505,0.7722569340845026,1.6881710129419343,1.695457232098204,2.0625864372757747,0.44256269734060194,-0.3757877175260685,1.432673143534025,-6.117714317805168,0.5193636910612051,-1.4282848844220868,0.30299991051439473,-0.06264681267453633,-0.016462075157027703,-0.05545985679128607,0.056933582332381015,0.006019586087829099,-0.0038243114106136537,2
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0074,AG6926,5,051921,1.7,2,Naive mice,74,9,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG6926_mouse#5_Naive_recorded_051921/Trajectory2_1.7mm_right_in_SNr_1mW_10s_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch9.txt,30.98729138288693,0.5692614229864958,0.29955491132758577,130.55686511401652,0.007874965780011841,0.031149301825993556,0.026288888888888806,2.126046875,30.260358175957943,4.314452074719486,31.7,0.5529694433301107,0.2,48.14629814632282,0.004057499999998981,0.022857142857142857,0.004057499999998981,1.0,31.106894856322434,1.6080302799060704,0.15010687748556759,-0.015560732650688238,-0.1,-0.10303030303036269,-0.09696969696963732,-0.11666666666666667,-0.09696969696963732,0.0,0.15710326561372762,-0.12089085837480354,data/Split/Healthy,1.1549854004795508,0.582705365650897,-0.06046807309956236,-0.055010857158213994,-0.05536329489063773,-0.12502252481758316,-0.047706659953748294,0.022472013246651306,1.1995586871416262,-0.13495736495159627,0.3673712687458223,-0.3495757556462195,-0.7253875887728573,-0.08621532708473727,-1.0198734762276132,-0.937617783452061,-0.9575150920215151,0.7360436647324773,0.4345376671381525,-0.44892775949575503,0.5247946273912794,1.6905178748196161,-0.0914961559995363,-0.2700947567404917,-0.08325515388009563,-0.026161873016974438,0.010214091297455583,0.009648273545279796,0.01393953235532083,0.006540403932510363,1
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0088,AG7094,1,081321,1.4,1,Naive mice,88,4,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#1_Naive_recorded_081321/Trajectory1_1.4mm_right_1mW_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch4.txt,22.66057503136062,1.0643303363380687,1.2332285731352717,116.66266848330399,0.04762381903912201,0.21768707482993196,0.0386171874999998,0.7637968085106387,18.61413703242097,6.267422888319134,18.9,0.9597665745289288,1.6,122.36781931923656,0.027767500000002342,0.17826746729972537,0.00974270833333565,0.6418152500000016,13.684008094708284,5.9876744944156455,0.43876062969008095,-0.2611139954025373,-0.06476190476190477,-0.008559031808422848,0.026886114993966058,-0.04323796746604058,0.19855966951460452,0.3288646222088568,0.49939180453202336,-0.042653641392400965,data/Split/Healthy,1.7791903056767366,0.04938792667332666,0.03813866240127341,0.2097016546163255,0.29633305433962503,0.08280450209659652,0.8094214773930388,2.126987602091715,1.9479989849929962,0.08744906137584385,-0.4633140570500433,2.196034772453947,2.506341166116232,1.3679473656834544,0.8626372571366735,1.5697443416221173,-0.3684707459729464,-2.480861145458547,-0.7131595606430616,1.5338882091699757,0.8999626996004784,2.194183560369619,1.9430728934545347,-1.6819207719812295,-0.41675076588913423,-0.14118141642217974,-0.19140713585854338,-0.005581688418907549,0.04270857048692736,-0.020030078626150624,1
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0032,AG6927,4,052021,1.4,4,Naive mice,32,7,left,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG6927_mouse#4_Naive_recorded_052021/Trajectory4_1.4mm_left_in_SNr_1mW_10s_GPe_stim_neurons_recorded_together/Neuron_recorded_in_Ch7.txt,11.811417703780322,0.9571606176615539,1.0176503953822027,69.23951067501143,0.06258967001434668,0.3050847457627119,0.06150409836065523,0.9264616666666672,8.755967449868967,7.907693932330413,9.1,0.6200773307616223,0.2,8.272461752373838,0.021745000000001367,0.0865546218487395,0.021745000000001367,1.0,8.396205165640016,1.5421210418857039,-0.06677415177415176,0.08679377211634105,0.2,0.2,0.2,0.2,0.2,-0.07734820102418616,-0.12890541033710876,0.2,data/Split/Healthy,0.6859868121216394,0.8050092427748369,0.7790217021102558,0.7940929139820854,0.7879007926027359,0.7712468163611553,0.8135988889335486,-0.4725052017884829,0.5741786516511124,0.7772451878096704,-1.099307509612503,0.07036463149659224,-0.7253875887728573,-0.8674314000690162,0.38446682728907144,0.09006584605637989,0.8750865049406633,0.7360436647324773,-1.061482823359532,-0.4787671444385813,2.2096293958915347,0.15089374807840095,0.15586383092501316,0.10111183951763336,0.0062768637114988075,-0.028106343090633437,-0.014529799364506268,0.06157346960796796,0.007382289315436029,-0.0030628244104997683,1
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0111,AG7518,5,022422,1.4,1,Naive mice,111,12cell1,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7518_mouse#5_Naive_recorded_022422/Trajectory1_1.4mm_right_rec1_1mW_10s_GPe_cont_neurons_recorded_together/Ch12cell1.txt,1.2178928341298312,1.3805431154493668,0.09941982319427194,16.231885291912615,0.038498462410296905,0.40816326530612246,0.3872312499999999,0.4692166666666668,0.7496542542878931,21.65249539913771,5.0,0.32023913497801043,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.49536414565826326,0.4049230706441298,0.4,0.4,0.4,0.4,0.4,-0.1175510476621651,0.46123438545610745,0.4,data/Split/Healthy,1.9015936766667438,1.4959546647708377,1.3386815522501345,1.3545014029345728,1.355813341322877,1.3373116634214113,1.3936618096128652,-0.7297767711573557,1.864564844344673,1.3457889957456421,-1.365386403031491,-1.8059299865701217,-1.1870631251855843,-1.0295071035516852,-1.3420281493875708,-1.3063908009010003,-1.377912603239673,0.7360436647324773,-1.2852009308644774,-1.1769385204001805,4.315939065131988,1.1614720752608325,0.2043960215613887,-0.282429696813695,-0.06257802901194479,0.01739686471051489,-0.021933673893188822,0.01491869765171257,0.003741983119353808,0.0004048958102340832,0
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0097,AG7518,5,022422,1.7,5,Naive mice,97,15,left,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7518_mouse#5_Naive_recorded_022422/Trajectory5_1.7mm_left_rec21_1mW_10s_GPe_cont_neurons_recorded_together/Ch15.txt,11.923976899129842,0.8749433285266226,0.7829697553464192,60.23473900635613,0.05332064813583909,0.24350205198358413,0.0681005208333338,1.1700888297872336,9.528531533537892,6.321513319691067,6.3,0.8425769341539547,0.4,31.419856550936164,0.020914999999999396,0.1506060606060606,0.020914999999999396,1.0,5.136744585585637,6.631446490794653,0.20915167711900925,-0.028581209533821428,0.23333333333333334,0.2023697307127358,0.21958702834039193,0.2554720133667502,0.19354725607795076,-0.1527251897633933,0.14331919486126127,0.27252318491363703,data/Split/Healthy,1.2826679726827575,0.554426175597549,0.8722983438002356,0.8007330000218282,0.843519388535964,0.9282506001740248,0.7948839015044508,-0.954867964850043,1.1694187530024849,0.9834082263818896,-1.2810199246303484,1.4626982775684763,-0.2637120523601303,-0.413923072310171,0.3185670420214271,1.1234601985400217,0.7890902179876165,0.7360436647324773,-1.2761931594234954,1.8253459925148385,2.751201538972019,0.5416080323544948,-0.3876147012233151,-0.4186902405836618,-0.0774329757785625,0.22820936103303785,-0.026570661556970125,0.03883359112760214,0.020103911718922167,0.006756827734568422,0
data/Split/Healthy/gpe_pv/pre_processed_data/Naive_mice_PV-DIO-ChR2_in_GPe/Neuron_0015,AG7094,2,081821,1.4,1,Naive mice,15,5,right,raw_data/Spike times files GPe to SNr project/Naive mice/PV-DIO-ChR2 in GPe/AG7094_mouse#2_Naive_recorded_081821/Trajectory1_1.4mm_right_rec1_1mW_10s_GPe_cells_rec_together/Ch5.txt,38.523165518089904,0.6019421781920621,0.6222537748883832,145.515247405199,0.023980104849761184,0.08223201174743025,0.03853750000000018,1.5455848837209298,36.223983029788435,4.017096830172871,24.1,0.6264629735198658,0.2,25.777969204253573,0.004987500000002853,0.025568181818181816,0.004987500000002853,1.0,23.619388333150294,1.1006429330589451,-0.7091932313654128,-0.4121502301984255,0.1,0.1,0.1,0.1,0.1,0.0,-0.7515259621380079,0.1,data/Split/Healthy,-0.7032247869329056,-0.2786478608843425,0.4991917770403164,0.5138886695058418,0.5039445182426653,0.4882143928310274,0.5235674285938904,0.022472013246651306,-0.7872292199384243,0.49297328384168476,-0.12584814344547274,0.11032400728217656,-0.7253875887728573,-0.5244600428100531,-0.9460339577950603,-0.8938783701608871,-0.861157806640218,0.7360436647324773,-0.05868659570738553,-0.6786395087502717,0.4501732913338235,-1.4251784005501666,0.46824154919114347,0.09636017008374564,0.0799796946735402,-0.05188131025644344,0.013212685236389582,0.028952867555633987,0.003173352730881568,-0.0018505730271591728,1
